time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,-0.0001,0.0699,-0.1952,-0.0062,0.0845,-0.1018,
0.0033,-0.0000,0.0699,-0.1952,-0.0062,0.0845,-0.1018,
0.0050,-0.0000,0.0699,-0.1953,-0.0062,0.0844,-0.1018,
0.0067,-0.0000,0.0699,-0.1953,-0.0062,0.0844,-0.1018,
0.0083,-0.0000,0.0699,-0.1953,-0.0062,0.0844,-0.1018,
0.0100,-0.0000,0.0699,-0.1953,-0.0061,0.0844,-0.1018,
0.0117,-0.0000,0.0700,-0.1953,-0.0061,0.0844,-0.1018,
0.0133,-0.0000,0.0700,-0.1954,-0.0061,0.0844,-0.1018,
0.0150,-0.0000,0.0700,-0.1954,-0.0061,0.0844,-0.1018,
0.0167,-0.0000,0.0700,-0.1954,-0.0061,0.0844,-0.1018,
0.0183,-0.0000,0.0700,-0.1954,-0.0061,0.0844,-0.1018,
0.0200,-0.0000,0.0700,-0.1954,-0.0061,0.0844,-0.1018,
0.0217,-0.0000,0.0700,-0.1954,-0.0061,0.0844,-0.1018,
0.0233,-0.0000,0.0700,-0.1954,-0.0061,0.0844,-0.1018,
0.0250,0.0000,0.0700,-0.1954,-0.0061,0.0845,-0.1018,
0.0267,0.0000,0.0700,-0.1954,-0.0061,0.0845,-0.1018,
0.0283,0.0000,0.0700,-0.1954,-0.0061,0.0845,-0.1018,
0.0300,0.0000,0.0700,-0.1954,-0.0061,0.0845,-0.1018,
0.0317,0.0000,0.0700,-0.1954,-0.0061,0.0845,-0.1017,
0.0333,0.0000,0.0700,-0.1954,-0.0061,0.0846,-0.1017,
0.0350,0.0000,0.0700,-0.1953,-0.0061,0.0846,-0.1017,
0.0367,0.0000,0.0699,-0.1953,-0.0061,0.0846,-0.1017,
0.0383,-0.0000,0.0699,-0.1952,-0.0061,0.0846,-0.1017,
0.0400,-0.0000,0.0699,-0.1952,-0.0061,0.0847,-0.1017,
0.0417,-0.0000,0.0698,-0.1951,-0.0061,0.0847,-0.1017,
0.0433,-0.0000,0.0698,-0.1951,-0.0061,0.0847,-0.1017,
