time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.0167,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.0250,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.0333,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.0417,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.0500,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.0583,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.0667,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.0750,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.0833,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.0917,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.1000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.1083,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.1167,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.1250,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.1333,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.1417,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.1500,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.1583,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.1667,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.1750,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.1833,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.1917,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.2000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.2083,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.2167,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.2250,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.2333,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.2417,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.2500,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.2583,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.2667,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.2750,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.2833,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.2917,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.3000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.3083,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.3167,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.3250,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.3333,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.3417,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.3500,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.3583,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.3667,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.3750,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.3833,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.3917,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.4000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.4083,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.4167,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.4250,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.4333,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,180.0000,   NaN,
0.4417,180.0000,180.0000,180.0000,180.0000,-129.0287,-129.6062,53.2720,-9.9305,
0.4500,180.0000,180.0000,180.0000,180.0000,-129.0290,-129.6211,53.2694,-9.9305,
0.4583,180.0000,180.0000,180.0000,180.0000,-129.0302,-129.6337,53.2665,-9.9305,
0.4667,180.0000,180.0000,180.0000,180.0000,-129.0321,-129.6438,53.2635,-9.9305,
0.4750,180.0000,180.0000,180.0000,180.0000,-129.0348,-129.6516,53.2604,-9.9305,
0.4833,180.0000,180.0000,180.0000,180.0000,-129.0383,-129.6574,53.2573,-9.9305,
0.4917,180.0000,180.0000,180.0000,180.0000,-129.0424,-129.6613,53.2543,-9.9306,
0.5000,180.0000,180.0000,180.0000,180.0000,-129.0472,-129.6637,53.2514,-9.9306,
0.5083,180.0000,180.0000,180.0000,180.0000,-129.0527,-129.6649,53.2487,-9.9306,
0.5167,180.0000,180.0000,180.0000,180.0000,-129.0590,-129.6652,53.2461,-9.9306,
0.5250,180.0000,180.0000,180.0000,180.0000,-129.0660,-129.6649,53.2436,-9.9306,
0.5333,180.0000,180.0000,180.0000,180.0000,-129.0738,-129.6642,53.2409,-9.9306,
0.5417,180.0000,180.0000,180.0000,180.0000,-129.0824,-129.6632,53.2381,-9.9305,
0.5500,180.0000,180.0000,180.0000,180.0000,-129.0916,-129.6621,53.2350,-9.9305,
0.5583,180.0000,180.0000,180.0000,180.0000,-129.1013,-129.6609,53.2314,-9.9305,
0.5667,180.0000,180.0000,180.0000,180.0000,-129.1115,-129.6596,53.2274,-9.9305,
0.5750,180.0000,180.0000,180.0000,180.0000,-129.1220,-129.6582,53.2230,-9.9304,
0.5833,180.0000,180.0000,180.0000,180.0000,-129.1326,-129.6569,53.2180,-9.9304,
0.5917,180.0000,180.0000,180.0000,180.0000,-129.1431,-129.6555,53.2125,-9.9304,
0.6000,180.0000,180.0000,180.0000,180.0000,-129.1534,-129.6540,53.2066,-9.9304,
0.6083,180.0000,180.0000,180.0000,180.0000,-129.1631,-129.6525,53.2003,-9.9304,
0.6167,180.0000,180.0000,180.0000,180.0000,-129.1721,-129.6511,53.1937,-9.9303,
0.6250,180.0000,180.0000,180.0000,180.0000,-129.1803,-129.6500,53.1870,-9.9303,
0.6333,180.0000,180.0000,180.0000,180.0000,-129.1876,-129.6492,53.1801,-9.9303,
0.6417,180.0000,180.0000,180.0000,180.0000,-129.1938,-129.6488,53.1732,-9.9303,
0.6500,180.0000,180.0000,180.0000,180.0000,-129.1991,-129.6487,53.1665,-9.9303,
0.6583,180.0000,180.0000,180.0000,180.0000,-129.2035,-129.6490,53.1600,-9.9303,
