time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT
0.0017,0.033,-0.0127,-0.2614,-0.329,0.0158,-0.0176
0.0033,0.033,-0.0127,-0.2614,-0.3291,0.0158,-0.0176
0.005,0.033,-0.0127,-0.2614,-0.3291,0.0158,-0.0176
0.0067,0.033,-0.0127,-0.2614,-0.3291,0.0158,-0.0176
0.0083,0.033,-0.0127,-0.2615,-0.3292,0.0159,-0.0176
0.01,0.033,-0.0127,-0.2615,-0.3292,0.0159,-0.0176
0.0117,0.033,-0.0127,-0.2615,-0.3292,0.0159,-0.0176
0.0133,0.033,-0.0127,-0.2615,-0.3293,0.0159,-0.0176
0.015,0.033,-0.0127,-0.2616,-0.3293,0.0159,-0.0176
0.0167,0.033,-0.0127,-0.2616,-0.3293,0.0159,-0.0176
0.0183,0.0331,-0.0127,-0.2616,-0.3293,0.0159,-0.0176
0.02,0.0331,-0.0127,-0.2616,-0.3293,0.0159,-0.0176
0.0217,0.0331,-0.0127,-0.2617,-0.3294,0.0159,-0.0176
0.0233,0.0331,-0.0127,-0.2617,-0.3294,0.0159,-0.0176
0.025,0.0331,-0.0127,-0.2617,-0.3294,0.0159,-0.0176
0.0267,0.0331,-0.0127,-0.2617,-0.3293,0.0159,-0.0176
0.0283,0.0331,-0.0128,-0.2617,-0.3293,0.0159,-0.0176
0.03,0.0331,-0.0128,-0.2617,-0.3293,0.0159,-0.0176
0.0317,0.0331,-0.0128,-0.2617,-0.3292,0.0158,-0.0176
0.0333,0.033,-0.0128,-0.2616,-0.3292,0.0158,-0.0176
0.035,0.033,-0.0128,-0.2616,-0.3291,0.0158,-0.0176
0.0367,0.033,-0.0128,-0.2616,-0.3291,0.0157,-0.0176
0.0383,0.033,-0.0128,-0.2615,-0.329,0.0157,-0.0176
0.04,0.033,-0.0129,-0.2615,-0.3289,0.0156,-0.0176
0.0417,0.033,-0.0129,-0.2614,-0.3288,0.0156,-0.0177
0.0433,0.033,-0.0129,-0.2613,-0.3287,0.0155,-0.0177
0.045,0.033,-0.0129,-0.2613,-0.3285,0.0155,-0.0177
0.0467,0.033,-0.0129,-0.2612,-0.3284,0.0154,-0.0177
0.0483,0.0329,-0.0129,-0.2611,-0.3283,0.0154,-0.0178
0.05,0.0329,-0.0129,-0.261,-0.3282,0.0153,-0.0178
0.0517,0.0329,-0.0129,-0.2609,-0.3281,0.0153,-0.0178
0.0533,0.0329,-0.0129,-0.2608,-0.328,0.0153,-0.0178
0.055,0.0329,-0.0129,-0.2607,-0.3279,0.0153,-0.0178
0.0567,0.0329,-0.0129,-0.2606,-0.3279,0.0152,-0.0179
0.0583,0.0329,-0.0129,-0.2606,-0.3278,0.0152,-0.0179
0.06,0.0329,-0.0129,-0.2605,-0.3278,0.0153,-0.0179
0.0617,0.0329,-0.0128,-0.2605,-0.3279,0.0153,-0.0179
0.0633,0.0329,-0.0128,-0.2605,-0.3279,0.0154,-0.0179
0.065,0.0329,-0.0128,-0.2605,-0.328,0.0154,-0.0179
0.0667,0.0329,-0.0127,-0.2605,-0.3282,0.0155,-0.0179
0.0683,0.0329,-0.0127,-0.2606,-0.3283,0.0156,-0.0178
0.07,0.0329,-0.0126,-0.2607,-0.3285,0.0157,-0.0178
