time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,
0.0083,-0.2918,-0.4025,90.5128,88.6651,105.7131,118.2134,69.1491,
0.0167,-0.2992,-0.3932,90.5313,88.8251,105.7074,118.1029,69.1509,
0.0250,-0.3024,-0.3852,90.5484,88.9703,105.7015,118.0013,69.1524,
0.0333,-0.2994,-0.3799,90.5619,89.0887,105.6958,117.9170,69.1530,
0.0417,-0.2906,-0.3770,90.5699,89.1699,105.6913,117.8567,69.1527,
0.0500,-0.2783,-0.3748,90.5713,89.2111,105.6886,117.8225,69.1516,
0.0583,-0.2651,-0.3724,90.5669,89.2192,105.6877,117.8097,69.1501,
0.0667,-0.2532,-0.3703,90.5579,89.2056,105.6885,117.8108,69.1486,
0.0750,-0.2437,-0.3690,90.5459,89.1811,105.6903,117.8187,69.1473,
0.0833,-0.2368,-0.3686,90.5323,89.1533,105.6926,117.8285,69.1462,
0.0917,-0.2318,-0.3693,90.5179,89.1273,105.6947,117.8367,69.1456,
0.1000,-0.2285,-0.3715,90.5038,89.1058,105.6961,117.8416,69.1452,
0.1083,-0.2266,-0.3750,90.4903,89.0901,105.6963,117.8426,69.1452,
0.1167,-0.2264,-0.3796,90.4780,89.0803,105.6949,117.8398,69.1455,
0.1250,-0.2274,-0.3847,90.4669,89.0760,105.6917,117.8334,69.1462,
0.1333,-0.2288,-0.3897,90.4570,89.0764,105.6866,117.8241,69.1472,
0.1417,-0.2297,-0.3945,90.4481,89.0805,105.6798,117.8127,69.1484,
0.1500,-0.2298,-0.3991,90.4400,89.0870,105.6713,117.7997,69.1497,
0.1583,-0.2289,-0.4035,90.4325,89.0944,105.6615,117.7859,69.1510,
0.1667,-0.2270,-0.4076,90.4255,89.1020,105.6507,117.7713,69.1519,
0.1750,-0.2240,-0.4112,90.4188,89.1091,105.6393,117.7563,69.1523,
0.1833,-0.2206,-0.4141,90.4118,89.1157,105.6277,117.7409,69.1520,
0.1917,-0.2186,-0.4160,90.4043,89.1218,105.6162,117.7247,69.1511,
0.2000,-0.2194,-0.4167,90.3958,89.1276,105.6051,117.7077,69.1497,
0.2083,-0.2238,-0.4157,90.3858,89.1331,105.5946,117.6897,69.1480,
0.2167,-0.2315,-0.4131,90.3740,89.1386,105.5850,117.6708,69.1461,
0.2250,-0.2417,-0.4094,90.3602,89.1443,105.5764,117.6509,69.1441,
0.2333,-0.2528,-0.4055,90.3444,89.1501,105.5690,117.6303,69.1420,
0.2417,-0.2638,-0.4022,90.3266,89.1557,105.5628,117.6091,69.1399,
0.2500,-0.2737,-0.4003,90.3068,89.1606,105.5577,117.5880,69.1379,
0.2583,-0.2819,-0.4000,90.2852,89.1640,105.5537,117.5672,69.1360,
0.2667,-0.2884,-0.4011,90.2618,89.1653,105.5508,117.5473,69.1343,
0.2750,-0.2936,-0.4026,90.2365,89.1642,105.5489,117.5286,69.1327,
0.2833,-0.2982,-0.4036,90.2097,89.1604,105.5478,117.5109,69.1312,
0.2917,-0.3020,-0.4033,90.1813,89.1539,105.5470,117.4942,69.1297,
0.3000,-0.3040,-0.4018,90.1510,89.1450,105.5468,117.4782,69.1279,
0.3083,-0.3027,-0.3993,90.1178,89.1344,105.5475,117.4625,69.1256,
0.3167,-0.2974,-0.3959,90.0804,89.1223,105.5500,117.4466,69.1226,
0.3250,-0.2885,-0.3915,90.0366,89.1092,105.5557,117.4301,69.1186,
0.3333,-0.2768,-0.3856,89.9841,89.0953,105.5665,117.4129,69.1133,
0.3417,-0.2631,-0.3780,89.9206,89.0811,105.5840,117.3946,69.1063,
0.3500,-0.2479,-0.3690,89.8444,89.0667,105.6100,117.3751,69.0975,
0.3583,-0.2324,-0.3589,89.7540,89.0521,105.6459,117.3543,69.0868,
0.3667,-0.2190,-0.3484,89.6486,89.0373,105.6930,117.3323,69.0741,
0.3750,-0.2115,-0.3380,89.5273,89.0217,105.7523,117.3091,69.0593,
0.3833,-0.2135,-0.3280,89.3895,89.0049,105.8247,117.2849,69.0425,
0.3917,-0.2265,-0.3189,89.2350,88.9870,105.9104,117.2599,69.0239,
0.4000,-0.2480,-0.3109,89.0635,88.9686,106.0094,117.2342,69.0034,
0.4083,-0.2736,-0.3041,88.8750,88.9505,106.1214,117.2080,68.9814,
0.4167,-0.3001,-0.2982,88.6696,88.9336,106.2455,117.1813,68.9578,
0.4250,-0.3261,-0.2934,88.4476,88.9181,106.3811,117.1540,68.9324,
0.4333,-0.3496,-0.2896,88.2092,88.9038,106.5274,117.1263,68.9052,
0.4417,-0.3679,-0.2871,87.9543,88.8903,106.6844,117.0980,68.8757,
0.4500,-0.3797,-0.2860,87.6820,88.8766,106.8522,117.0695,68.8438,
0.4583,-0.3857,-0.2866,87.3914,88.8623,107.0315,117.0408,68.8093,
0.4667,-0.3882,-0.2888,87.0810,88.8467,107.2233,117.0120,68.7720,
0.4750,-0.3893,-0.2930,86.7494,88.8298,107.4285,116.9834,68.7321,
0.4833,-0.3906,-0.2994,86.3962,88.8113,107.6470,116.9554,68.6897,
0.4917,-0.3928,-0.3084,86.0225,88.7912,107.8773,116.9281,68.6453,
0.5000,-0.3975,-0.3206,85.6323,88.7692,108.1159,116.9018,68.5990,
0.5083,-0.4069,-0.3365,85.2326,88.7451,108.3570,116.8768,68.5511,
0.5167,-0.4239,-0.3568,84.8330,88.7185,108.5933,116.8536,68.5017,
0.5250,-0.4495,-0.3819,84.4439,88.6885,108.8174,116.8326,68.4510,
0.5333,-0.4830,-0.4123,84.0747,88.6541,109.0229,116.8144,68.3991,
0.5417,-0.5212,-0.4486,83.7333,88.6148,109.2052,116.7994,68.3460,
0.5500,-0.5597,-0.4911,83.4249,88.5702,109.3618,116.7875,68.2916,
0.5583,-0.5965,-0.5402,83.1523,88.5200,109.4923,116.7788,68.2358,
0.5667,-0.6337,-0.5959,82.9156,88.4638,109.5976,116.7736,68.1780,
0.5750,-0.6735,-0.6585,82.7128,88.4007,109.6794,116.7723,68.1177,
0.5833,-0.7137,-0.7279,82.5394,88.3306,109.7403,116.7750,68.0542,
