time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0374,0.0116,-0.1726,0.0027,0.0012,0.0410,
0.0033,0.0374,0.0116,-0.1726,0.0027,0.0013,0.0410,
0.0050,0.0374,0.0116,-0.1726,0.0027,0.0013,0.0410,
0.0067,0.0374,0.0116,-0.1726,0.0027,0.0013,0.0410,
0.0083,0.0374,0.0116,-0.1727,0.0027,0.0013,0.0410,
0.0100,0.0374,0.0116,-0.1727,0.0027,0.0013,0.0410,
0.0117,0.0374,0.0116,-0.1727,0.0027,0.0013,0.0410,
0.0133,0.0374,0.0116,-0.1727,0.0027,0.0013,0.0411,
0.0150,0.0374,0.0116,-0.1727,0.0027,0.0013,0.0411,
0.0167,0.0374,0.0116,-0.1727,0.0027,0.0013,0.0411,
0.0183,0.0374,0.0116,-0.1727,0.0027,0.0013,0.0411,
0.0200,0.0374,0.0116,-0.1728,0.0027,0.0014,0.0411,
0.0217,0.0374,0.0116,-0.1728,0.0027,0.0014,0.0411,
0.0233,0.0374,0.0116,-0.1728,0.0027,0.0013,0.0411,
0.0250,0.0374,0.0116,-0.1728,0.0027,0.0013,0.0411,
0.0267,0.0374,0.0116,-0.1728,0.0027,0.0013,0.0412,
0.0283,0.0374,0.0116,-0.1727,0.0027,0.0013,0.0412,
0.0300,0.0374,0.0116,-0.1727,0.0027,0.0013,0.0412,
0.0317,0.0375,0.0116,-0.1727,0.0027,0.0013,0.0412,
0.0333,0.0375,0.0116,-0.1727,0.0027,0.0012,0.0412,
0.0350,0.0375,0.0116,-0.1726,0.0027,0.0012,0.0412,
0.0367,0.0375,0.0116,-0.1726,0.0027,0.0012,0.0412,
0.0383,0.0375,0.0117,-0.1725,0.0027,0.0011,0.0412,
0.0400,0.0375,0.0117,-0.1725,0.0027,0.0011,0.0412,
0.0417,0.0374,0.0117,-0.1724,0.0027,0.0010,0.0412,
0.0433,0.0374,0.0117,-0.1724,0.0027,0.0010,0.0412,
0.0450,0.0374,0.0117,-0.1723,0.0027,0.0010,0.0412,
0.0467,0.0374,0.0117,-0.1722,0.0027,0.0009,0.0411,
0.0483,0.0374,0.0117,-0.1722,0.0027,0.0009,0.0411,
0.0500,0.0374,0.0118,-0.1721,0.0027,0.0008,0.0411,
0.0517,0.0374,0.0118,-0.1721,0.0027,0.0008,0.0410,
0.0533,0.0374,0.0118,-0.1720,0.0027,0.0008,0.0410,
0.0550,0.0374,0.0118,-0.1720,0.0027,0.0007,0.0409,
0.0567,0.0373,0.0118,-0.1720,0.0027,0.0007,0.0409,
0.0583,0.0373,0.0118,-0.1719,0.0027,0.0007,0.0408,
0.0600,0.0373,0.0118,-0.1719,0.0027,0.0008,0.0408,
0.0617,0.0373,0.0118,-0.1720,0.0027,0.0008,0.0407,
0.0633,0.0373,0.0118,-0.1720,0.0027,0.0008,0.0407,
0.0650,0.0373,0.0118,-0.1720,0.0027,0.0009,0.0407,
0.0667,0.0373,0.0117,-0.1721,0.0027,0.0010,0.0406,
0.0683,0.0372,0.0117,-0.1722,0.0027,0.0011,0.0406,
0.0700,0.0372,0.0117,-0.1723,0.0026,0.0012,0.0406,
0.0717,0.0372,0.0116,-0.1725,0.0026,0.0013,0.0405,
0.0733,0.0372,0.0116,-0.1726,0.0026,0.0015,0.0405,
0.0750,0.0372,0.0116,-0.1728,0.0026,0.0016,0.0405,
0.0767,0.0373,0.0115,-0.1730,0.0026,0.0018,0.0406,
0.0783,0.0373,0.0115,-0.1732,0.0026,0.0019,0.0406,
0.0800,0.0373,0.0114,-0.1734,0.0026,0.0021,0.0407,
0.0817,0.0373,0.0113,-0.1737,0.0026,0.0023,0.0407,
0.0833,0.0374,0.0113,-0.1739,0.0026,0.0024,0.0408,
0.0850,0.0374,0.0112,-0.1741,0.0026,0.0026,0.0409,
0.0867,0.0374,0.0112,-0.1743,0.0026,0.0027,0.0411,
0.0883,0.0375,0.0111,-0.1745,0.0026,0.0028,0.0412,
0.0900,0.0375,0.0111,-0.1747,0.0027,0.0029,0.0414,
0.0917,0.0376,0.0111,-0.1748,0.0027,0.0030,0.0415,
0.0933,0.0377,0.0110,-0.1749,0.0027,0.0030,0.0417,
0.0950,0.0377,0.0110,-0.1749,0.0027,0.0030,0.0419,
0.0967,0.0378,0.0111,-0.1749,0.0028,0.0029,0.0421,
0.0983,0.0378,0.0111,-0.1749,0.0028,0.0027,0.0423,
0.1000,0.0379,0.0111,-0.1747,0.0028,0.0025,0.0424,
0.1017,0.0379,0.0112,-0.1745,0.0029,0.0023,0.0426,
0.1033,0.0380,0.0113,-0.1742,0.0029,0.0020,0.0427,
