time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,0.8458,2.4172,75.9233,99.7030,96.2569,80.7223,77.9116,-0.9651,
0.0167,0.7312,2.4470,75.7895,99.6917,96.3452,80.6776,78.0018,-0.9645,
0.0250,0.6269,2.4734,75.6501,99.6841,96.4372,80.6298,78.0936,-0.9639,
0.0333,0.5357,2.4955,75.5027,99.6822,96.5317,80.5782,78.1874,-0.9633,
0.0417,0.4522,2.5142,75.3461,99.6865,96.6247,80.5220,78.2847,-0.9628,
0.0500,0.3660,2.5307,75.1815,99.6972,96.7119,80.4607,78.3874,-0.9622,
0.0583,0.2674,2.5457,75.0117,99.7140,96.7904,80.3939,78.4966,-0.9616,
0.0667,0.1522,2.5599,74.8399,99.7365,96.8587,80.3218,78.6136,-0.9611,
0.0750,0.0213,2.5739,74.6685,99.7632,96.9167,80.2446,78.7391,-0.9605,
0.0833,-0.1205,2.5882,74.4986,99.7920,96.9652,80.1638,78.8742,-0.9598,
0.0917,-0.2674,2.6028,74.3313,99.8200,97.0053,80.0812,79.0195,-0.9592,
0.1000,-0.4126,2.6178,74.1680,99.8439,97.0372,79.9992,79.1759,-0.9585,
0.1083,-0.5495,2.6330,74.0091,99.8611,97.0612,79.9195,79.3438,-0.9578,
0.1167,-0.6720,2.6482,73.8537,99.8698,97.0777,79.8432,79.5236,-0.9570,
0.1250,-0.7746,2.6624,73.7004,99.8686,97.0872,79.7712,79.7155,-0.9562,
0.1333,-0.8523,2.6746,73.5482,99.8574,97.0895,79.7034,79.9198,-0.9554,
0.1417,-0.9010,2.6838,73.3982,99.8363,97.0825,79.6393,80.1366,-0.9545,
0.1500,-0.9175,2.6893,73.2536,99.8063,97.0635,79.5780,80.3663,-0.9536,
0.1583,-0.9003,2.6910,73.1180,99.7687,97.0301,79.5180,80.6089,-0.9526,
0.1667,-0.8503,2.6891,72.9943,99.7240,96.9810,79.4585,80.8644,-0.9516,
0.1750,-0.7717,2.6846,72.8839,99.6727,96.9166,79.3987,81.1330,-0.9506,
