time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0290,-0.0129,-0.1773,-0.4318,-0.0434,0.0294,
0.0033,0.0290,-0.0129,-0.1773,-0.4319,-0.0434,0.0294,
0.0050,0.0290,-0.0129,-0.1773,-0.4319,-0.0435,0.0294,
0.0067,0.0290,-0.0129,-0.1773,-0.4319,-0.0435,0.0294,
0.0083,0.0290,-0.0129,-0.1774,-0.4320,-0.0435,0.0294,
0.0100,0.0290,-0.0129,-0.1774,-0.4320,-0.0435,0.0294,
0.0117,0.0290,-0.0129,-0.1774,-0.4321,-0.0436,0.0294,
0.0133,0.0290,-0.0129,-0.1774,-0.4321,-0.0436,0.0294,
0.0150,0.0290,-0.0129,-0.1774,-0.4322,-0.0436,0.0295,
0.0167,0.0290,-0.0129,-0.1774,-0.4322,-0.0436,0.0295,
0.0183,0.0290,-0.0129,-0.1774,-0.4322,-0.0437,0.0295,
0.0200,0.0290,-0.0129,-0.1774,-0.4323,-0.0437,0.0295,
0.0217,0.0290,-0.0129,-0.1775,-0.4323,-0.0437,0.0295,
0.0233,0.0290,-0.0129,-0.1775,-0.4323,-0.0437,0.0295,
0.0250,0.0289,-0.0128,-0.1775,-0.4323,-0.0437,0.0295,
0.0267,0.0289,-0.0128,-0.1775,-0.4323,-0.0437,0.0295,
0.0283,0.0289,-0.0128,-0.1775,-0.4323,-0.0437,0.0295,
0.0300,0.0289,-0.0128,-0.1774,-0.4323,-0.0437,0.0295,
0.0317,0.0289,-0.0128,-0.1774,-0.4322,-0.0437,0.0295,
0.0333,0.0289,-0.0128,-0.1774,-0.4322,-0.0436,0.0295,
0.0350,0.0288,-0.0127,-0.1774,-0.4321,-0.0436,0.0295,
0.0367,0.0288,-0.0127,-0.1774,-0.4320,-0.0436,0.0295,
0.0383,0.0288,-0.0127,-0.1773,-0.4319,-0.0435,0.0295,
0.0400,0.0288,-0.0127,-0.1773,-0.4318,-0.0434,0.0295,
0.0417,0.0288,-0.0126,-0.1773,-0.4316,-0.0434,0.0294,
0.0433,0.0288,-0.0126,-0.1772,-0.4315,-0.0433,0.0294,
0.0450,0.0287,-0.0126,-0.1772,-0.4314,-0.0432,0.0294,
0.0467,0.0287,-0.0126,-0.1771,-0.4312,-0.0431,0.0293,
0.0483,0.0287,-0.0126,-0.1771,-0.4310,-0.0430,0.0293,
0.0500,0.0287,-0.0126,-0.1770,-0.4309,-0.0429,0.0292,
0.0517,0.0287,-0.0126,-0.1770,-0.4307,-0.0428,0.0292,
0.0533,0.0287,-0.0126,-0.1769,-0.4306,-0.0428,0.0291,
0.0550,0.0287,-0.0126,-0.1769,-0.4305,-0.0427,0.0291,
0.0567,0.0288,-0.0127,-0.1768,-0.4304,-0.0426,0.0291,
0.0583,0.0288,-0.0127,-0.1768,-0.4303,-0.0425,0.0290,
0.0600,0.0288,-0.0127,-0.1768,-0.4302,-0.0425,0.0290,
0.0617,0.0289,-0.0128,-0.1768,-0.4302,-0.0425,0.0290,
0.0633,0.0289,-0.0129,-0.1768,-0.4303,-0.0425,0.0289,
