time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,48.3268,48.4288,86.8307,89.1375,84.8011,87.0982,89.7758,-1.3145,
0.0167,48.3249,48.4292,86.8833,89.1378,84.6561,87.0766,89.8205,-1.3140,
0.0250,48.3231,48.4296,86.9321,89.1384,84.5203,87.0564,89.8620,-1.3136,
0.0333,48.3217,48.4299,86.9721,89.1387,84.4027,87.0380,89.8984,-1.3133,
0.0417,48.3207,48.4301,87.0000,89.1385,84.3093,87.0215,89.9291,-1.3129,
0.0500,48.3203,48.4302,87.0154,89.1375,84.2410,87.0072,89.9537,-1.3127,
0.0583,48.3202,48.4303,87.0211,89.1365,84.1949,86.9950,89.9726,-1.3125,
0.0667,48.3203,48.4303,87.0200,89.1358,84.1666,86.9849,89.9865,-1.3124,
0.0750,48.3205,48.4304,87.0149,89.1357,84.1515,86.9767,89.9959,-1.3123,
0.0833,48.3207,48.4304,87.0081,89.1363,84.1457,86.9701,90.0017,-1.3122,
0.0917,48.3208,48.4304,87.0011,89.1375,84.1458,86.9648,90.0047,-1.3122,
0.1000,48.3210,48.4304,86.9949,89.1394,84.1495,86.9608,90.0054,-1.3122,
0.1083,48.3211,48.4304,86.9900,89.1420,84.1548,86.9575,90.0043,-1.3122,
0.1167,48.3211,48.4305,86.9866,89.1451,84.1605,86.9550,90.0016,-1.3122,
0.1250,48.3212,48.4305,86.9847,89.1489,84.1657,86.9529,89.9974,-1.3122,
0.1333,48.3212,48.4306,86.9844,89.1532,84.1696,86.9512,89.9918,-1.3122,
0.1417,48.3212,48.4306,86.9853,89.1577,84.1721,86.9498,89.9850,-1.3123,
0.1500,48.3212,48.4307,86.9871,89.1622,84.1730,86.9488,89.9770,-1.3123,
0.1583,48.3211,48.4307,86.9895,89.1663,84.1726,86.9482,89.9679,-1.3123,
0.1667,48.3211,48.4308,86.9921,89.1698,84.1713,86.9483,89.9581,-1.3123,
0.1750,48.3211,48.4308,86.9946,89.1725,84.1693,86.9490,89.9475,-1.3123,
0.1833,48.3211,48.4308,86.9969,89.1742,84.1670,86.9504,89.9365,-1.3123,
0.1917,48.3211,48.4308,86.9984,89.1751,84.1647,86.9527,89.9251,-1.3124,
0.2000,48.3210,48.4308,86.9989,89.1752,84.1629,86.9558,89.9136,-1.3124,
0.2083,48.3210,48.4307,86.9977,89.1747,84.1619,86.9594,89.9021,-1.3124,
0.2167,48.3210,48.4307,86.9947,89.1735,84.1619,86.9633,89.8910,-1.3124,
0.2250,48.3210,48.4307,86.9897,89.1718,84.1629,86.9671,89.8802,-1.3124,
0.2333,48.3210,48.4307,86.9828,89.1699,84.1646,86.9702,89.8701,-1.3124,
0.2417,48.3210,48.4307,86.9749,89.1685,84.1666,86.9719,89.8608,-1.3124,
0.2500,48.3211,48.4307,86.9668,89.1684,84.1682,86.9714,89.8523,-1.3123,
0.2583,48.3211,48.4308,86.9593,89.1707,84.1688,86.9675,89.8447,-1.3123,
0.2667,48.3212,48.4308,86.9526,89.1766,84.1684,86.9590,89.8378,-1.3123,
0.2750,48.3212,48.4309,86.9465,89.1876,84.1671,86.9446,89.8317,-1.3122,
0.2833,48.3213,48.4309,86.9402,89.2047,84.1655,86.9233,89.8264,-1.3122,
0.2917,48.3213,48.4311,86.9331,89.2288,84.1639,86.8941,89.8221,-1.3121,
0.3000,48.3214,48.4312,86.9249,89.2603,84.1627,86.8567,89.8188,-1.3120,
0.3083,48.3215,48.4314,86.9153,89.2994,84.1621,86.8109,89.8162,-1.3119,
0.3167,48.3216,48.4317,86.9042,89.3458,84.1625,86.7572,89.8142,-1.3119,
0.3250,48.3218,48.4319,86.8911,89.3990,84.1641,86.6960,89.8123,-1.3118,
