time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.0017,0.0063,0.0379,-0.2724,-0.4312,-0.0052,-0.0648,
0.0033,0.0063,0.0379,-0.2724,-0.4312,-0.0052,-0.0648,
0.0050,0.0063,0.0379,-0.2725,-0.4312,-0.0052,-0.0648,
0.0067,0.0063,0.0379,-0.2725,-0.4313,-0.0053,-0.0648,
0.0083,0.0063,0.0379,-0.2725,-0.4313,-0.0053,-0.0648,
0.0100,0.0063,0.0379,-0.2726,-0.4314,-0.0053,-0.0648,
0.0117,0.0063,0.0379,-0.2726,-0.4314,-0.0053,-0.0647,
0.0133,0.0063,0.0379,-0.2726,-0.4314,-0.0053,-0.0647,
0.0150,0.0064,0.0379,-0.2727,-0.4315,-0.0053,-0.0647,
0.0167,0.0064,0.0379,-0.2727,-0.4315,-0.0054,-0.0647,
0.0183,0.0064,0.0379,-0.2727,-0.4316,-0.0054,-0.0647,
0.0200,0.0064,0.0379,-0.2728,-0.4316,-0.0054,-0.0647,
0.0217,0.0064,0.0379,-0.2728,-0.4316,-0.0054,-0.0647,
0.0233,0.0064,0.0379,-0.2728,-0.4316,-0.0054,-0.0647,
0.0250,0.0064,0.0379,-0.2728,-0.4316,-0.0054,-0.0647,
0.0267,0.0064,0.0379,-0.2728,-0.4316,-0.0054,-0.0647,
0.0283,0.0064,0.0379,-0.2728,-0.4316,-0.0054,-0.0647,
0.0300,0.0064,0.0379,-0.2728,-0.4316,-0.0054,-0.0647,
0.0317,0.0064,0.0379,-0.2727,-0.4315,-0.0054,-0.0647,
0.0333,0.0064,0.0379,-0.2727,-0.4315,-0.0054,-0.0647,
0.0350,0.0064,0.0378,-0.2726,-0.4314,-0.0054,-0.0648,
0.0367,0.0063,0.0378,-0.2725,-0.4313,-0.0054,-0.0648,
0.0383,0.0063,0.0378,-0.2725,-0.4312,-0.0053,-0.0648,
0.0400,0.0063,0.0378,-0.2724,-0.4311,-0.0053,-0.0648,
0.0417,0.0063,0.0378,-0.2722,-0.4310,-0.0053,-0.0648,
0.0433,0.0063,0.0378,-0.2721,-0.4309,-0.0052,-0.0648,
0.0450,0.0062,0.0378,-0.2720,-0.4307,-0.0052,-0.0648,
0.0467,0.0062,0.0378,-0.2719,-0.4306,-0.0051,-0.0648,
0.0483,0.0062,0.0378,-0.2718,-0.4304,-0.0050,-0.0649,
0.0500,0.0062,0.0378,-0.2716,-0.4303,-0.0050,-0.0649,
0.0517,0.0061,0.0378,-0.2715,-0.4302,-0.0049,-0.0649,
0.0533,0.0061,0.0378,-0.2714,-0.4300,-0.0048,-0.0649,
0.0550,0.0061,0.0378,-0.2713,-0.4299,-0.0048,-0.0649,
0.0567,0.0061,0.0378,-0.2712,-0.4298,-0.0047,-0.0649,
0.0583,0.0060,0.0378,-0.2711,-0.4297,-0.0046,-0.0649,
0.0600,0.0060,0.0378,-0.2711,-0.4297,-0.0046,-0.0649,
0.0617,0.0060,0.0378,-0.2711,-0.4297,-0.0046,-0.0649,
0.0633,0.0060,0.0378,-0.2711,-0.4297,-0.0045,-0.0649,
0.0650,0.0060,0.0378,-0.2712,-0.4298,-0.0045,-0.0649,
0.0667,0.0060,0.0378,-0.2713,-0.4299,-0.0045,-0.0649,
0.0683,0.0061,0.0378,-0.2715,-0.4301,-0.0046,-0.0649,
0.0700,0.0061,0.0379,-0.2717,-0.4303,-0.0046,-0.0648,
0.0717,0.0061,0.0379,-0.2719,-0.4305,-0.0047,-0.0648,
0.0733,0.0062,0.0379,-0.2722,-0.4309,-0.0048,-0.0648,
0.0750,0.0063,0.0379,-0.2725,-0.4312,-0.0049,-0.0647,
0.0767,0.0063,0.0379,-0.2729,-0.4316,-0.0051,-0.0647,
0.0783,0.0064,0.0380,-0.2733,-0.4321,-0.0053,-0.0646,
0.0800,0.0065,0.0380,-0.2737,-0.4326,-0.0055,-0.0646,
0.0817,0.0066,0.0380,-0.2742,-0.4331,-0.0057,-0.0645,
0.0833,0.0067,0.0381,-0.2747,-0.4337,-0.0059,-0.0645,
