time,Rfoot,Lfoot,Rshank,Lshank,Rthigh,Lthigh,trunk,hipx, 
0.0083,0.4589,0.5133,88.5165,93.9710,77.3463,81.5264,93.1693,-1.2357,
0.0167,0.5097,0.4827,88.5272,93.9678,77.3460,81.5219,93.1903,-1.2356,
0.0250,0.5555,0.4589,88.5394,93.9662,77.3452,81.5157,93.2109,-1.2356,
0.0333,0.5941,0.4479,88.5540,93.9677,77.3435,81.5063,93.2309,-1.2356,
0.0417,0.6247,0.4516,88.5707,93.9727,77.3407,81.4936,93.2495,-1.2355,
0.0500,0.6472,0.4668,88.5879,93.9804,77.3374,81.4790,93.2660,-1.2355,
0.0583,0.6620,0.4875,88.6040,93.9896,77.3344,81.4647,93.2797,-1.2355,
0.0667,0.6705,0.5087,88.6180,93.9992,77.3323,81.4520,93.2903,-1.2355,
0.0750,0.6746,0.5272,88.6297,94.0088,77.3315,81.4415,93.2980,-1.2355,
0.0833,0.6759,0.5419,88.6390,94.0180,77.3321,81.4337,93.3032,-1.2355,
0.0917,0.6757,0.5529,88.6464,94.0268,77.3339,81.4284,93.3062,-1.2356,
0.1000,0.6749,0.5617,88.6524,94.0353,77.3368,81.4253,93.3077,-1.2356,
0.1083,0.6740,0.5697,88.6574,94.0436,77.3406,81.4242,93.3081,-1.2357,
0.1167,0.6733,0.5782,88.6618,94.0521,77.3449,81.4244,93.3078,-1.2357,
0.1250,0.6728,0.5874,88.6660,94.0609,77.3495,81.4256,93.3073,-1.2358,
0.1333,0.6724,0.5963,88.6701,94.0699,77.3542,81.4274,93.3068,-1.2359,
0.1417,0.6720,0.6039,88.6742,94.0789,77.3587,81.4297,93.3066,-1.2360,
0.1500,0.6716,0.6102,88.6783,94.0874,77.3631,81.4322,93.3067,-1.2360,
0.1583,0.6715,0.6155,88.6823,94.0953,77.3673,81.4352,93.3074,-1.2361,
0.1667,0.6718,0.6205,88.6861,94.1025,77.3715,81.4384,93.3086,-1.2362,
0.1750,0.6725,0.6258,88.6896,94.1094,77.3758,81.4419,93.3105,-1.2363,
0.1833,0.6735,0.6317,88.6928,94.1160,77.3803,81.4453,93.3130,-1.2363,
0.1917,0.6747,0.6378,88.6957,94.1224,77.3851,81.4487,93.3161,-1.2364,
0.2000,0.6759,0.6436,88.6982,94.1286,77.3902,81.4520,93.3198,-1.2365,
0.2083,0.6771,0.6487,88.7005,94.1347,77.3957,81.4552,93.3241,-1.2365,
0.2167,0.6783,0.6534,88.7025,94.1410,77.4015,81.4581,93.3289,-1.2366,
0.2250,0.6796,0.6579,88.7042,94.1476,77.4077,81.4607,93.3344,-1.2367,
0.2333,0.6810,0.6624,88.7054,94.1546,77.4142,81.4630,93.3403,-1.2367,
0.2417,0.6825,0.6665,88.7061,94.1619,77.4211,81.4653,93.3467,-1.2368,
0.2500,0.6841,0.6702,88.7063,94.1691,77.4283,81.4675,93.3536,-1.2369,
0.2583,0.6861,0.6735,88.7062,94.1761,77.4357,81.4699,93.3608,-1.2369,
0.2667,0.6883,0.6771,88.7057,94.1831,77.4434,81.4726,93.3683,-1.2370,
0.2750,0.6901,0.6813,88.7050,94.1897,77.4511,81.4755,93.3762,-1.2371,
0.2833,0.6912,0.6859,88.7039,94.1958,77.4590,81.4788,93.3844,-1.2371,
0.2917,0.6913,0.6904,88.7024,94.2014,77.4670,81.4822,93.3928,-1.2372,
0.3000,0.6908,0.6947,88.7007,94.2065,77.4751,81.4857,93.4013,-1.2373,
0.3083,0.6899,0.6984,88.6988,94.2116,77.4834,81.4891,93.4099,-1.2373,
0.3167,0.6889,0.7014,88.6967,94.2170,77.4917,81.4922,93.4184,-1.2374,
0.3250,0.6879,0.7038,88.6947,94.2227,77.5003,81.4948,93.4265,-1.2375,
0.3333,0.6868,0.7056,88.6924,94.2289,77.5091,81.4968,93.4341,-1.2375,
0.3417,0.6857,0.7072,88.6899,94.2355,77.5181,81.4985,93.4407,-1.2376,
0.3500,0.6851,0.7091,88.6870,94.2423,77.5274,81.5000,93.4458,-1.2376,
0.3583,0.6853,0.7127,88.6837,94.2488,77.5371,81.5019,93.4491,-1.2377,
0.3667,0.6867,0.7191,88.6799,94.2544,77.5473,81.5050,93.4500,-1.2378,
0.3750,0.6892,0.7297,88.6754,94.2578,77.5583,81.5105,93.4483,-1.2378,
0.3833,0.6929,0.7457,88.6701,94.2573,77.5706,81.5202,93.4436,-1.2379,
0.3917,0.6976,0.7683,88.6638,94.2507,77.5843,81.5366,93.4358,-1.2380,
0.4000,0.7031,0.7975,88.6562,94.2354,77.5997,81.5628,93.4248,-1.2381,
0.4083,0.7091,0.8330,88.6476,94.2083,77.6171,81.6023,93.4103,-1.2383,
0.4167,0.7158,0.8737,88.6382,94.1663,77.6366,81.6594,93.3925,-1.2385,
0.4250,0.7228,0.9181,88.6283,94.1056,77.6583,81.7385,93.3709,-1.2387,
0.4333,0.7300,0.9636,88.6184,94.0221,77.6822,81.8444,93.3455,-1.2389,
0.4417,0.7368,1.0074,88.6091,93.9109,77.7084,81.9817,93.3158,-1.2392,
0.4500,0.7428,1.0469,88.6010,93.7672,77.7369,82.1549,93.2811,-1.2395,
0.4583,0.7478,1.0799,88.5948,93.5861,77.7677,82.3686,93.2407,-1.2399,
0.4667,0.7516,1.1043,88.5910,93.3637,77.8007,82.6266,93.1938,-1.2403,
0.4750,0.7541,1.1190,88.5902,93.0968,77.8356,82.9319,93.1398,-1.2408,
0.4833,0.7557,1.1233,88.5928,92.7835,77.8722,83.2865,93.0785,-1.2414,
0.4917,0.7564,1.1173,88.5989,92.4238,77.9099,83.6909,93.0099,-1.2420,
0.5000,0.7567,1.1003,88.6082,92.0197,77.9482,84.1434,92.9344,-1.2426,
0.5083,0.7573,1.0708,88.6205,91.5752,77.9865,84.6405,92.8526,-1.2433,
0.5167,0.7589,1.0259,88.6351,91.0964,78.0243,85.1758,92.7651,-1.2440,
0.5250,0.7626,0.9631,88.6516,90.5915,78.0611,85.7414,92.6726,-1.2448,
0.5333,0.7696,0.8808,88.6695,90.0705,78.0965,86.3272,92.5757,-1.2456,
0.5417,0.7811,0.7799,88.6886,89.5449,78.1299,86.9217,92.4750,-1.2463,
0.5500,0.7982,0.6642,88.7092,89.0272,78.1604,87.5118,92.3717,-1.2471,
0.5583,0.8218,0.5409,88.7318,88.5304,78.1868,88.0836,92.2675,-1.2479,
0.5667,0.8517,0.4199,88.7572,88.0662,78.2076,88.6234,92.1643,-1.2487,
0.5750,0.8870,0.3118,88.7868,87.6449,78.2211,89.1187,92.0646,-1.2494,
0.5833,0.9260,0.2264,88.8220,87.2742,78.2257,89.5594,91.9706,-1.2502,
0.5917,0.9662,0.1711,88.8643,86.9588,78.2197,89.9384,91.8846,-1.2508,
0.6000,1.0057,0.1506,88.9153,86.7003,78.2019,90.2524,91.8079,-1.2514,
0.6083,1.0428,0.1665,88.9767,86.4977,78.1714,90.5014,91.7411,-1.2519,
0.6167,1.0762,0.2184,89.0503,86.3477,78.1277,90.6882,91.6837,-1.2524,
0.6250,1.1050,0.3039,89.1370,86.2448,78.0709,90.8188,91.6343,-1.2528,
0.6333,1.1290,0.4198,89.2365,86.1820,78.0022,90.9007,91.5903,-1.2532,
0.6417,1.1479,0.5622,89.3472,86.1518,77.9242,90.9429,91.5486,-1.2535,
0.6500,1.1621,0.7272,89.4659,86.1457,77.8406,90.9551,91.5054,-1.2537,
0.6583,1.1723,0.9105,89.5884,86.1555,77.7562,90.9470,91.4564,-1.2540,
0.6667,1.1791,1.1065,89.7100,86.1739,77.6762,90.9279,91.3970,-1.2543,
0.6750,1.1829,1.3072,89.8260,86.1954,77.6059,90.9058,91.3227,-1.2545,
0.6833,1.1843,1.5018,89.9324,86.2164,77.5497,90.8869,91.2292,-1.2549,
0.6917,1.1835,1.6776,90.0260,86.2354,77.5114,90.8766,91.1131,-1.2552,
0.7000,1.1805,1.8207,90.1051,86.2526,77.4932,90.8791,90.9715,-1.2556,
0.7083,1.1753,1.9181,90.1690,86.2691,77.4963,90.8981,90.8023,-1.2561,
0.7167,1.1680,1.9607,90.2180,86.2853,77.5205,90.9368,90.6048,-1.2567,
0.7250,1.1590,1.9452,90.2537,86.3005,77.5649,90.9976,90.3791,-1.2573,
0.7333,1.1488,1.8742,90.2782,86.3120,77.6277,91.0823,90.1267,-1.2580,
0.7417,1.1373,1.7557,90.2938,86.3162,77.7068,91.1916,89.8497,-1.2587,
0.7500,1.1236,1.6017,90.3028,86.3096,77.7998,91.3248,89.5512,-1.2595,
0.7583,1.1066,1.4265,90.3065,86.2902,77.9048,91.4792,89.2349,-1.2604,
0.7667,1.0850,1.2442,90.3056,86.2583,78.0203,91.6507,88.9044,-1.2613,
0.7750,1.0580,1.0661,90.2995,86.2160,78.1450,91.8341,88.5630,-1.2622,
0.7833,1.0252,0.8999,90.2880,86.1666,78.2781,92.0238,88.2132,-1.2632,
0.7917,0.9874,0.7486,90.2707,86.1133,78.4186,92.2146,87.8570,-1.2641,
0.8000,0.9461,0.6124,90.2480,86.0587,78.5655,92.4020,87.4965,-1.2651,
0.8083,0.9029,0.4901,90.2204,86.0050,78.7178,92.5819,87.1332,-1.2661,
0.8167,0.8590,0.3818,90.1881,85.9546,78.8749,92.7501,86.7690,-1.2670,
0.8250,0.8141,0.2888,90.1509,85.9105,79.0365,92.9020,86.4052,-1.2679,
0.8333,0.7671,0.2129,90.1084,85.8761,79.2028,93.0334,86.0432,-1.2688,
0.8417,0.7162,0.1550,90.0597,85.8540,79.3741,93.1411,85.6845,-1.2697,
0.8500,0.6603,0.1154,90.0044,85.8459,79.5503,93.2233,85.3304,-1.2705,
0.8583,0.5987,0.0942,89.9422,85.8530,79.7314,93.2797,84.9820,-1.2712,
